x,recarbf,qxf,recarmf,lambdaf,recarbm,qxm,recarmm,lambdam
0,0.0975,1.96384,0.005,0.04,0.0975,1.9791825,0.005,0.04
1,0.0975,0.1308625,0.005,0.04,0.0975,0.1254475,0.005,0.04
2,0.0975,0.11191,0.005,0.04,0.0975,0.1083,0.005,0.04
3,0.0975,0.09386,0.005,0.04,0.0975,0.0929575,0.005,0.04
4,0.0975,0.0785175,0.005,0.04,0.0975,0.07942,0.005,0.04
5,0.0975,0.0658825,0.005,0.04,0.0975,0.06859,0.005,0.04
6,0.0975,0.0568575,0.005,0.04,0.0975,0.0604675,0.005,0.04
7,0.0975,0.0514425,0.005,0.04,0.0975,0.055955,0.005,0.04
8,0.0975,0.0478325,0.005,0.0395212,0.0975,0.0532475,0.005,0.04
9,0.0975,0.0478325,0.005,0.039077,0.0975,0.0532475,0.005,0.04
10,0.0975,0.048735,0.005,0.0388323,0.0975,0.055955,0.005,0.04
11,0.0975,0.048735,0.005,0.0388323,0.0975,0.055955,0.005,0.04
12,0.0975,0.052345,0.005,0.0387131,0.0975,0.06137,0.005,0.04
13,0.0975,0.05776,0.005,0.0386363,0.0975,0.0694925,0.005,0.04
14,0.0975,0.063175,0.005,0.0385336,0.0975,0.0821275,0.005,0.04
15,0.0975,0.0694925,0.005,0.0383665,0.0975,0.09747,0.005,0.04
16,0.0975,0.0767125,0.005,0.0381293,0.0975,0.11552,0.005,0.04
17,0.0975,0.0839325,0.005,0.0378425,0.0975,0.135375,0.005,0.04
18,0.0975,0.092055,0.005,0.0375411,0.0975,0.1579375,0.005,0.04
19,0.0975,0.0983725,0.005,0.0372641,0.0975,0.1805,0.005,0.04
20,0.0975,0.102885,0.005,0.0370457,0.0975,0.2012575,0.005,0.04
21,0.0975,0.106495,0.005,0.0369075,0.0975,0.2193075,0.005,0.04
22,0.0975,0.1092025,0.005,0.0368545,0.0975,0.232845,0.005,0.04
23,0.0975,0.1110075,0.005,0.0368734,0.0975,0.243675,0.005,0.04
24,0.0975,0.113715,0.005,0.0369371,0.0975,0.250895,0.005,0.04
25,0.0975,0.1164225,0.005,0.0370127,0.0975,0.25631,0.005,0.04
26,0.0975,0.1200325,0.005,0.0370703,0.0975,0.261725,0.005,0.04
27,0.0975,0.124545,0.005,0.0370911,0.0975,0.2680425,0.005,0.04
28,0.0975,0.1308625,0.005,0.0370685,0.0975,0.27436,0.005,0.04
29,0.0975,0.1380825,0.005,0.0370045,0.0975,0.283385,0.005,0.04
30,0.0975,0.1471075,0.005,0.036901,0.0975,0.294215,0.005,0.04
31,0.0975,0.1579375,0.005,0.0367504,0.0975,0.30685,0.005,0.04
32,0.0975,0.16967,0.005,0.0365308,0.0975,0.3221925,0.005,0.04
33,0.0975,0.18411,0.005,0.0362096,0.0975,0.33934,0.005,0.04
34,0.0975,0.2012575,0.005,0.0357546,0.0975,0.359195,0.005,0.04
35,0.0975,0.222015,0.005,0.0351476,0.0975,0.3835625,0.005,0.04
36,0.0975,0.2463825,0.005,0.0343947,0.0975,0.4124425,0.005,0.04
37,0.0975,0.27436,0.005,0.033528,0.0975,0.44764,0.005,0.04
38,0.0975,0.30685,0.005,0.0325993,0.0975,0.49096,0.005,0.04
39,0.0975,0.34295,0.005,0.0316672,0.0975,0.54511,0.005,0.04
40,0.0975,0.3835625,0.005,0.0307824,0.0975,0.61009,0.005,0.04
41,0.0975,0.4286875,0.005,0.0299739,0.0975,0.687705,0.005,0.04
42,0.0975,0.48013,0.005,0.0292417,0.0975,0.7770525,0.005,0.0391873
43,0.0975,0.53789,0.005,0.0285577,0.0975,0.88084,0.005,0.0382471
44,0.0975,0.601065,0.005,0.0278745,0.0975,0.9972625,0.005,0.0371642
45,0.0975,0.67146,0.005,0.0271392,0.0975,1.1290275,0.005,0.0359182
46,0.0975,0.74727,0.005,0.026309,0.0975,1.2752325,0.005,0.0344958
47,0.0975,0.828495,0.005,0.0253622,0.0975,1.43678,0.005,0.0328984
48,0.0975,0.91694,0.005,0.0243045,0.0975,1.61367,0.005,0.031162
49,0.0975,1.0108,0.005,0.0231687,0.0975,1.8077075,0.005,0.0293863
50,0.0975,1.110075,0.005,0.02201,0.0975,2.0170875,0.005,0.0276947
51,0.0975,1.214765,0.005,0.0208973,0.0975,2.243615,0.005,0.0261821
52,0.0975,1.323065,0.005,0.0199025,0.0975,2.4863875,0.005,0.0249181
53,0.0975,1.4358775,0.005,0.0190895,0.0975,2.745405,0.005,0.0239401
54,0.0975,1.5513975,0.005,0.0185043,0.0975,3.0188625,0.005,0.0232421
55,0.0975,1.6687225,0.005,0.0181693,0.0975,3.3076625,0.005,0.0227714
56,0.0975,1.7878525,0.005,0.0180823,0.0975,3.61,0.005,0.0224534
57,0.0975,1.9069825,0.005,0.01822,0.0975,3.9231675,0.005,0.0222164
58,0.0975,2.0243075,0.005,0.018546,0.0975,4.243555,0.005,0.0220193
59,0.0975,2.1398275,0.005,0.0190191,0.0975,4.564845,0.005,0.0218431
60,0.0975,2.25264,0.005,0.0196017,0.0975,4.88794,0.005,0.0216898
61,0.0975,2.27157449,0.005,0.020266,0.0973,5.214492627,0.005,0.0215817
62,0.0975,2.719273681,0.005,0.0209962,0.0965,5.963965076,0.005,0.0215527
63,0.0975,3.177724676,0.005,0.0217878,0.0954,6.702620131,0.005,0.0216339
64,0.0975,3.612342304,0.005,0.0226424,0.0938,7.425796135,0.005,0.0218393
65,0.0975,3.992017091,0.005,0.023562,0.0919,8.091977124,0.005,0.0221772
66,0.0975,4.326657805,0.005,0.0245432,0.0898,8.675108407,0.005,0.0226316
67,0.0975,4.659864451,0.0049,0.0254727,0.0877,9.178520071,0.0049,0.0230654
68,0.0975,5.049489172,0.0048,0.0264271,0.0857,9.647874616,0.0048,0.0235318
69,0.0975,5.507987483,0.0047,0.0273745,0.0839,10.14981038,0.0047,0.0239828
70,0.0975,6.051551294,0.0045,0.0281792,0.0823,10.75460918,0.0045,0.0242881
71,0.0975,6.669949679,0.0043,0.0289063,0.0808,11.59327334,0.0043,0.0245149
72,0.0967,7.383954395,0.0042,0.0296253,0.0795,12.76552076,0.0042,0.0247409
73,0.0954,8.257076823,0.0039,0.0300116,0.0783,14.34800397,0.0039,0.024666
74,0.0935,9.327298621,0.0037,0.0303468,0.0771,16.35576563,0.0037,0.0245981
75,0.091,10.61803727,0.0035,0.0305166,0.0759,18.74485292,0.0035,0.0244516
76,0.088,12.17933531,0.0033,0.0305096,0.0747,21.50499955,0.0033,0.0242389
77,0.0847,14.0724785,0.003,0.0302157,0.0733,24.66175103,0.003,0.0238646
78,0.0811,16.34037856,0.0028,0.0298274,0.0718,28.33171756,0.0028,0.0235233
79,0.0776,18.99759411,0.0026,0.0292401,0.0704,32.61185585,0.0026,0.0230994
80,0.0742,22.10124542,0.0024,0.0284553,0.069,37.56804896,0.0024,0.0225728
81,0.0713,25.65798362,0.0023,0.0275816,0.0677,43.12551206,0.0023,0.0220242
82,0.0687,29.76179378,0.0021,0.0264366,0.0666,49.29428081,0.0021,0.0212355
83,0.0667,34.43291664,0.0021,0.0253459,0.0657,56.04780789,0.0021,0.0205045
84,0.065,39.78912742,0.002,0.024041,0.0649,63.32721275,0.002,0.0195446
85,0.0638,45.76252663,0.002,0.022757,0.0643,71.01651774,0.002,0.0185819
86,0.0629,52.96921503,0.002,0.0213165,0.0639,79.60269951,0.002,0.0174705
87,0.0623,60.77144912,0.002,0.0198654,0.0637,88.3000936,0.002,0.0163366
88,0.062,68.92193961,0.002,0.0184363,0.0638,96.94126791,0.002,0.0152065
89,0.0619,77.37584185,0.002,0.0170543,0.064,105.3540144,0.002,0.014096
90,0.0621,86.16748833,0.002,0.0157369,0.0646,113.3863012,0.002,0.0130201
91,0.0624,95.14254541,0.0018,0.0143944,0.0653,120.9819254,0.0018,0.0118897
92,0.0629,104.0533128,0.0016,0.0130133,0.0662,129.4716848,0.0016,0.010691
93,0.0634,112.9447306,0.0014,0.0117071,0.0671,139.4897887,0.0014,0.0095376
94,0.064,124.7258387,0.0012,0.0104677,0.068,151.8902268,0.0012,0.0084296
95,0.0644,136.9193503,0.001,0.0092841,0.0689,164.6264498,0.001,0.0073701
96,0.0648,149.5508225,0.0008,0.0081446,0.0695,177.9968259,0.0008,0.0063586
97,0.065,163.1481052,0.0006,0.0070393,0.07,192.4257965,0.0006,0.0055813
98,0.065,176.7120372,0.0004,0.0060442,0.07,206.9396905,0.0004,0.0048813
99,0.065,191.2903424,0.0002,0.0053442,0.07,222.5991268,0.0002,0.0041813
100,0.065,206.9956576,0,0.0046442,0.07,239.5389285,0,0.0034813
101,0.065,223.9572017,0,0.0041442,0.07,257.9148547,0,0.0029813
102,0.065,242.3237194,0,0.0036442,0.07,277.9074627,0,0.0024813
103,0.065,262.2669857,0,0.0031442,0.07,299.7266938,0,0.0019813
104,0.065,283.9859471,0,0.0026442,0.07,323.6172424,0,0.0014813
105,0.065,307.7115571,0,0.0021442,0.07,349.8646839,0,0.0009813
106,0.065,333.7122882,0,0.0016442,0.07,378.8021251,0,0.0004813
107,0.065,362.3001402,0,0.0011442,0.07,410.8166832,0,0
108,0.065,393.8366072,0,0.0006442,0.07,446.3541052,0,0
109,0.065,428.7373041,0,0.0001442,0.07,485.9177294,0,0
110,0.065,467.4723748,0,0,0.07,530.053478,0,0
111,0.065,510.5564862,0,0,0.07,579.3028235,0,0
112,0.065,558.5152106,0,0,0.07,634.0843676,0,0
113,0.065,611.7996277,0,0,0.07,694.417984,0,0
114,0.065,670.5887689,0,0,0.07,759.3062472,0,0
115,0.065,734.3513224,0,0,0.07,825.4087903,0,0
116,0.065,800.9065865,0,0,0.07,884.5799335,0,0
117,0.065,864.5744447,0,0,0.07,922.0103792,0,0
118,0.065,935,0,0,0.07,930,0,0
119,0,1000,0,0,0,1000,0,0
120,0,1000,0,0,0,1000,0,0
